simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
58,10,BFS,"[9, 11, 5, 2, 5, 5, 6, 9, 3, 4]","[16, 8, 15, 23, 8, 11, 29, 3, 5, 13]",23,0.0011995999957434833,23.1484375,755,91
58,10,DFS,"[9, 11, 5, 2, 5, 5, 6, 9, 3, 4]","[16, 8, 15, 23, 8, 11, 29, 3, 5, 13]",23,0.000907899986486882,0.328125,755,91
59,10,BFS,"[12, 12, 2, 7, 9, 7, 4, 7, 15, 10]","[5, 7, 14, 11, 15, 2, 27, 13, 25, 23]",34,0.0011141000431962311,23.765625,889,92
59,10,DFS,"[12, 12, 2, 7, 9, 7, 4, 7, 15, 10]","[5, 7, 14, 11, 15, 2, 27, 13, 25, 23]",34,0.0009286000276915729,0.328125,889,92
60,10,BFS,"[1, 15, 10, 8, 6, 13, 14, 14, 9, 12]","[28, 25, 13, 1, 10, 13, 29, 14, 24, 18]",40,0.0010883999639190733,22.0859375,824,106
60,10,DFS,"[1, 15, 10, 8, 6, 13, 14, 14, 9, 12]","[28, 25, 13, 1, 10, 13, 29, 14, 24, 18]",40,0.0008744000224396586,0.3125,824,106
61,12,BFS,"[13, 15, 8, 5, 8, 7, 11, 13, 12, 14, 15, 10]","[20, 8, 8, 14, 1, 11, 22, 13, 6, 15, 5, 18]",52,0.005800999992061406,146.671875,3037,87
61,12,DFS,"[13, 15, 8, 5, 8, 7, 11, 13, 12, 14, 15, 10]","[20, 8, 8, 14, 1, 11, 22, 13, 6, 15, 5, 18]",52,0.0036259000189602375,0.3984375,3037,87
62,12,BFS,"[1, 7, 10, 1, 11, 3, 8, 1, 7, 4, 6, 13]","[30, 19, 22, 3, 14, 28, 6, 9, 11, 15, 11, 29]",28,0.004891499993391335,112.4140625,3406,126
62,12,DFS,"[1, 7, 10, 1, 11, 3, 8, 1, 7, 4, 6, 13]","[30, 19, 22, 3, 14, 28, 6, 9, 11, 15, 11, 29]",28,0.004150199994910508,0.4765625,3406,126
63,12,BFS,"[7, 13, 7, 14, 8, 12, 1, 4, 2, 11, 13, 4]","[9, 27, 9, 3, 1, 18, 12, 21, 25, 2, 1, 7]",38,0.004805599979590625,106.65625,2964,110
63,12,DFS,"[7, 13, 7, 14, 8, 12, 1, 4, 2, 11, 13, 4]","[9, 27, 9, 3, 1, 18, 12, 21, 25, 2, 1, 7]",38,0.0033257000031881034,0.46875,2964,110
64,12,BFS,"[14, 10, 4, 8, 2, 4, 12, 13, 3, 10, 12, 13]","[1, 5, 5, 22, 19, 15, 9, 12, 20, 24, 4, 27]",42,0.005177900020498782,108.78125,3395,127
64,12,DFS,"[14, 10, 4, 8, 2, 4, 12, 13, 3, 10, 12, 13]","[1, 5, 5, 22, 19, 15, 9, 12, 20, 24, 4, 27]",42,0.003843100043013692,0.4765625,3395,127
65,12,BFS,"[3, 2, 1, 5, 11, 7, 12, 2, 12, 11, 2, 13]","[10, 19, 30, 19, 30, 13, 7, 19, 27, 8, 23, 10]",32,0.005022800003644079,115.3984375,3429,153
65,12,DFS,"[3, 2, 1, 5, 11, 7, 12, 2, 12, 11, 2, 13]","[10, 19, 30, 19, 30, 13, 7, 19, 27, 8, 23, 10]",32,0.004094799980521202,0.46875,3429,153
66,12,BFS,"[14, 10, 2, 10, 1, 9, 11, 2, 11, 1, 7, 8]","[22, 26, 26, 26, 12, 14, 12, 17, 11, 28, 27, 4]",34,0.0046122000203467906,111.3984375,3053,162
66,12,DFS,"[14, 10, 2, 10, 1, 9, 11, 2, 11, 1, 7, 8]","[22, 26, 26, 26, 12, 14, 12, 17, 11, 28, 27, 4]",34,0.010381800006143749,0.4765625,3053,162
67,12,BFS,"[7, 11, 14, 12, 7, 12, 11, 10, 15, 13, 8, 14]","[12, 29, 15, 5, 6, 17, 9, 26, 18, 16, 14, 24]",53,0.00850879994686693,93.0703125,2966,105
67,12,DFS,"[7, 11, 14, 12, 7, 12, 11, 10, 15, 13, 8, 14]","[12, 29, 15, 5, 6, 17, 9, 26, 18, 16, 14, 24]",53,0.004584199981763959,0.328125,2966,105
68,12,BFS,"[10, 6, 4, 15, 5, 8, 13, 10, 11, 6, 8, 6]","[9, 28, 27, 3, 29, 8, 15, 20, 13, 1, 28, 6]",40,0.004802100011147559,96.5625,2778,138
68,12,DFS,"[10, 6, 4, 15, 5, 8, 13, 10, 11, 6, 8, 6]","[9, 28, 27, 3, 29, 8, 15, 20, 13, 1, 28, 6]",40,0.006490600004326552,0.3984375,2778,138
69,12,BFS,"[8, 6, 5, 5, 10, 15, 9, 9, 2, 12, 8, 13]","[7, 26, 11, 29, 23, 9, 1, 7, 8, 14, 18, 8]",40,0.004675799980759621,97.5390625,3149,115
69,12,DFS,"[8, 6, 5, 5, 10, 15, 9, 9, 2, 12, 8, 13]","[7, 26, 11, 29, 23, 9, 1, 7, 8, 14, 18, 8]",40,0.0034259999520145357,0.3984375,3149,115
70,12,BFS,"[12, 11, 8, 13, 2, 4, 12, 5, 10, 8, 9, 7]","[16, 23, 15, 1, 10, 13, 8, 22, 12, 18, 12, 24]",40,0.004374899959657341,100.046875,2930,110
70,12,DFS,"[12, 11, 8, 13, 2, 4, 12, 5, 10, 8, 9, 7]","[16, 23, 15, 1, 10, 13, 8, 22, 12, 18, 12, 24]",40,0.0032064999686554074,0.3984375,2930,110
71,12,BFS,"[9, 6, 8, 5, 4, 12, 6, 12, 13, 3, 4, 8]","[11, 23, 9, 9, 4, 7, 4, 18, 23, 7, 24, 9]",36,0.004632200056221336,105.71875,3009,90
71,12,DFS,"[9, 6, 8, 5, 4, 12, 6, 12, 13, 3, 4, 8]","[11, 23, 9, 9, 4, 7, 4, 18, 23, 7, 24, 9]",36,0.0033235999871976674,0.4375,3009,90
72,12,BFS,"[12, 13, 10, 2, 4, 4, 3, 1, 9, 5, 1, 5]","[19, 17, 10, 27, 10, 12, 10, 23, 5, 2, 18, 23]",27,0.004310999996960163,112.0859375,2854,125
72,12,DFS,"[12, 13, 10, 2, 4, 4, 3, 1, 9, 5, 1, 5]","[19, 17, 10, 27, 10, 12, 10, 23, 5, 2, 18, 23]",27,0.0032042000093497336,0.5546875,2854,125
